batch_size,prefix_length,branching_factor,depth,effective_depth,num_tree_nodes,num_heads,head_dim,flashinfer_tree_ms,flashinfer_cascade_ms,deft_ms,ragged_ms,ragged_sibling_ms,speedup_vs_tree,speedup_vs_cascade,speedup_vs_deft,speedup_sibling_vs_base,bw_gb_s,bw_util_pct
1,4096,7,14,3,84,32,128,0.25253333333333333,0.2463,,0.2524,,1.0006,0.9758,,,27.263433333333335,9.4665
1,4096,7,21,3,126,32,128,0.27553333333333335,0.2607333333333333,,0.26796666666666663,,1.0283,0.9731,,,38.52243333333333,13.375866666666667
1,4096,7,28,3,168,32,128,0.6129666666666665,0.35040000000000004,,0.35126666666666667,,1.7451666666666668,0.9977,,,39.18436666666667,13.605666666666666
1,4096,14,7,2,84,32,128,0.25233333333333335,0.24676666666666666,,0.25220000000000004,,1.0006000000000002,0.9784,,,21.828366666666668,7.5793
1,4096,14,14,2,168,32,128,0.6134666666666666,0.35053333333333336,,0.35013333333333335,,1.7520333333333333,1.0011666666666665,,,31.445300000000003,10.918533333333334
1,4096,14,21,3,252,32,128,0.6195,0.365,,0.3627666666666667,,1.7076333333333331,1.0061,,,56.90606666666667,19.759066666666666
1,4096,14,28,3,336,32,128,0.7342,0.40676666666666667,,0.40376666666666666,,1.8185,1.0074666666666667,,,68.1767,23.672433333333334
1,4096,21,7,2,126,32,128,0.27386666666666665,0.26076666666666665,,0.2673,,1.0247000000000002,0.9757333333333333,,,30.896599999999996,10.728
1,4096,21,14,2,252,32,128,0.6203,0.3651,,0.36143333333333333,,1.7162666666666666,1.0101333333333333,,,45.69723333333334,15.8671
1,4096,21,21,2,378,32,128,0.8133333333333334,0.41503333333333337,,0.4071666666666667,,1.9975333333333332,1.0193333333333332,,,60.84133333333333,21.125466666666668
1,4096,21,28,3,504,32,128,1.4634666666666665,0.6666,,0.5887666666666667,,2.486133333333333,1.1326333333333334,,,70.1419,24.354833333333332
1,4096,28,7,2,168,32,128,0.6129666666666665,0.3504666666666667,,0.3504333333333333,,1.7489666666666668,0.9999666666666668,,,31.415433333333336,10.908166666666666
1,4096,28,14,2,336,32,128,0.7353666666666667,0.40653333333333336,,0.40230000000000005,,1.8279666666666667,1.0104333333333333,,,54.737833333333334,19.0062
1,4096,28,21,2,504,32,128,1.4648333333333332,0.6645333333333333,,0.5817333333333333,,2.5203666666666664,1.1432,,,56.828,19.731933333333334
1,4096,28,28,2,672,32,128,1.6125999999999998,0.9356333333333334,,0.7896666666666666,,2.0422,1.1849,,,55.7737,19.365866666666665
2,0,7,7,2,42,32,128,0.009966666666666667,,0.032,0.008866666666666667,0.009800000000000001,1.1310333333333331,,3.636533333333334,0.9133,626.3284,217.47513333333333
2,0,7,14,3,84,32,128,0.0193,,0.06886666666666667,0.010733333333333333,0.009800000000000001,1.8116,,6.466833333333334,1.1033,1291.7380666666668,448.5202
2,0,7,21,3,126,32,128,0.024166666666666666,,0.10833333333333334,0.0129,0.0131,1.873833333333333,,8.407333333333334,0.9838333333333332,1602.1902666666665,556.3160666666666
2,0,7,28,3,168,32,128,0.05346666666666666,,0.18226666666666666,0.015566666666666666,0.0155,3.440533333333333,,11.729333333333335,1.0046,1771.4312333333335,615.0802666666667
2,0,14,7,2,84,32,128,0.0194,,0.06893333333333333,0.011033333333333332,0.010566666666666667,1.7672,,6.2755,1.0406333333333333,1002.3641666666667,348.04310000000004
2,0,14,14,2,168,32,128,0.053266666666666664,,0.1792,0.013566666666666666,0.013666666666666667,3.923066666666667,,13.199833333333332,0.9926,1622.2261333333333,563.2729666666668
2,0,14,21,3,252,32,128,0.06966666666666667,,0.2629333333333333,0.019533333333333333,0.019633333333333332,3.5646999999999998,,13.451066666666668,0.9947333333333334,2112.3950333333332,733.4705333333333
2,0,14,28,3,336,32,128,0.10270000000000001,,0.36296666666666666,0.0273,0.0246,3.7661333333333338,,13.308100000000001,1.1106666666666667,2020.5037333333332,701.5637999999999
2,0,21,7,2,126,32,128,0.025166666666666667,,0.11226666666666667,0.011966666666666667,0.011633333333333334,2.107133333333333,,9.405266666666668,1.0303,1384.7272666666668,480.80809999999997
2,0,21,14,2,252,32,128,0.07296666666666667,,0.2720666666666666,0.019633333333333332,0.019433333333333334,3.7177666666666664,,13.858933333333333,1.0091666666666665,1682.6415666666664,584.2505333333334
2,0,21,21,2,378,32,128,0.11616666666666665,,0.41640000000000005,0.024433333333333335,0.024233333333333332,4.7607,,17.0643,1.0084333333333333,2030.0217666666667,704.8686666666666
2,0,21,28,3,504,32,128,0.2217,,0.6386666666666666,0.0337,0.033,6.5828999999999995,,18.965166666666665,1.0209333333333335,2452.234366666667,851.4702666666667
